Date,Discount
11/20/23,-16.15
11/21/23,-17.07
11/22/23,-18.3
11/23/23,-19.02
11/24/23,-18.88
11/27/23,-19.26
11/28/23,-19.07
11/29/23,-18.71
11/30/23,-18.48
12/1/23,-18.38
12/4/23,-18.4
12/5/23,-18.24
12/6/23,-17.98
12/7/23,-18.1
12/8/23,-18.22
12/11/23,-17.98
12/12/23,-18.21
