Date,Discount
8/31/22,96.49
9/1/22,92.36
9/2/22,93.02
9/5/22,95.74
9/6/22,92.83
9/7/22,88
9/8/22,89.15
9/9/22,92.84
9/12/22,94
9/13/22,93.17
9/14/22,94.1
9/15/22,90.84
9/16/22,91.35
9/19/22,92
9/20/22,90.62
9/21/22,89.83
9/22/22,90.46
9/23/22,86.15
9/26/22,84.06
9/27/22,86.27
9/28/22,89.32
9/29/22,88.49
9/30/22,87.96
10/3/22,88.86
10/4/22,91.8
10/5/22,93.37
10/6/22,94.42
10/7/22,97.92
10/10/22,96.19
10/11/22,94.29
10/12/22,92.45
10/13/22,94.57
10/14/22,91.63
10/17/22,91.62
10/18/22,90.03
10/19/22,92.41
10/20/22,92.38
10/21/22,93.5
10/24/22,93.26
10/25/22,93.52
10/26/22,95.69
10/27/22,96.96
10/28/22,95.77
10/31/22,94.83
11/1/22,94.65
11/2/22,96.16
11/3/22,94.67
11/4/22,98.57
11/7/22,97.92
11/8/22,95.36
11/9/22,92.65
11/10/22,93.67
11/11/22,95.99
11/14/22,93.14
11/15/22,93.86
11/16/22,92.86
11/17/22,89.78
11/18/22,87.62
11/21/22,87.45
11/22/22,88.36
11/23/22,85.41
11/24/22,85.34
11/25/22,83.63
11/28/22,83.19
11/29/22,83.03
11/30/22,85.43
12/1/22,86.88
12/2/22,85.57
12/5/22,82.68
12/6/22,79.35
12/7/22,77.17
12/8/22,76.15
12/9/22,76.1
12/12/22,77.99
12/13/22,80.68
12/14/22,82.7
12/15/22,81.21
12/16/22,79.04
12/19/22,79.8
12/20/22,79.99
12/21/22,82.2
12/22/22,80.98
12/23/22,83.92
12/26/22,83.92
12/27/22,84.33
12/28/22,83.26
12/29/22,82.26
12/30/22,85.91
1/2/23,85.91
1/3/23,82.1
1/4/23,77.84
1/5/23,78.69
1/6/23,78.57
1/9/23,79.65
1/10/23,80.1
1/11/23,82.67
1/12/23,84.03
1/13/23,85.28
1/16/23,84.46
1/17/23,85.92
1/18/23,84.98
1/19/23,86.16
1/20/23,87.63
1/23/23,88.19
1/24/23,86.13
1/25/23,86.12
1/26/23,87.47
1/27/23,86.66
1/30/23,84.9
1/31/23,84.49
2/1/23,82.84
2/2/23,82.17
2/3/23,79.94
2/6/23,80.99
2/7/23,83.69
2/8/23,85.09
2/9/23,84.5
2/10/23,86.39
2/13/23,86.61
2/14/23,85.58
2/15/23,85.38
2/16/23,85.14
2/17/23,83
2/20/23,84.07
2/21/23,83.05
2/22/23,80.6
2/23/23,82.21
2/24/23,83.16
2/27/23,82.45
2/28/23,83.89
3/1/23,84.31
3/2/23,84.75
3/3/23,85.83
3/6/23,86.18
3/7/23,83.29
3/8/23,82.66
3/9/23,81.59
3/10/23,82.78
3/13/23,80.77
3/14/23,77.45
3/15/23,73.69
3/16/23,74.7
3/17/23,72.97
3/20/23,73.79
3/21/23,75.32
3/22/23,76.69
3/23/23,75.91
3/24/23,74.99
3/27/23,78.12
3/28/23,78.65
3/29/23,78.28
3/30/23,79.27
3/31/23,79.77
4/3/23,84.93
4/4/23,84.94
4/5/23,84.99
4/6/23,85.12
4/7/23,85.12
4/10/23,84.18
4/11/23,85.61
4/12/23,87.33
4/13/23,86.09
4/14/23,86.31
4/17/23,84.76
4/18/23,84.77
4/19/23,83.12
4/20/23,81.1
4/21/23,81.66
4/24/23,82.73
4/25/23,80.77
4/26/23,77.69
4/27/23,78.37
4/28/23,79.54
5/1/23,79.31
5/2/23,75.32
5/3/23,72.33
5/4/23,72.5
5/5/23,75.3
5/8/23,77.01
5/9/23,77.44
5/10/23,76.41
5/11/23,74.98
5/12/23,74.17
5/15/23,75.23
5/16/23,74.91
5/17/23,76.96
5/18/23,75.86
5/19/23,75.58
5/22/23,75.99
5/23/23,76.84
5/24/23,78.36
5/25/23,76.26
5/26/23,76.95
5/29/23,77.07
5/30/23,73.54
5/31/23,72.66
6/1/23,74.28
6/2/23,76.13
6/5/23,76.71
6/6/23,76.29
6/7/23,76.95
6/8/23,75.96
6/9/23,74.79
6/12/23,71.84
6/13/23,74.29
6/14/23,73.2
6/15/23,75.67
6/16/23,76.61
6/19/23,76.09
6/20/23,75.9
6/21/23,77.12
6/22/23,74.14
6/23/23,73.85
6/26/23,74.18
6/27/23,72.26
6/28/23,74.03
6/29/23,74.34
6/30/23,74.9
7/3/23,74.65
7/4/23,76.25
7/5/23,76.65
7/6/23,76.52
7/7/23,78.47
7/10/23,77.69
7/11/23,79.4
7/12/23,80.11
7/13/23,81.36
7/14/23,79.87
7/17/23,78.5
7/18/23,79.63
7/19/23,79.46
7/20/23,79.64
7/21/23,81.07
7/24/23,82.74
7/25/23,83.64
7/26/23,82.92
7/27/23,84.24
7/28/23,84.99
7/31/23,85.56
8/1/23,84.91
8/2/23,83.2
8/3/23,85.14
8/4/23,86.24
8/7/23,85.34
8/8/23,86.17
8/9/23,87.55
8/10/23,86.4
8/11/23,86.81
8/14/23,86.21
8/15/23,84.89
8/16/23,83.45
8/17/23,84.12
8/18/23,84.8
8/21/23,84.46
