commodity_group,departure_date,destination,volume,Date
Oil products,2022-07-26T00:00:00Z,EU,1.159002528,7/26/2022
Oil products,2022-07-27T00:00:00Z,EU,1.147850443,7/27/2022
Oil products,2022-07-28T00:00:00Z,EU,1.174888304,7/28/2022
Oil products,2022-07-29T00:00:00Z,EU,1.171655574,7/29/2022
Oil products,2022-07-30T00:00:00Z,EU,1.165278469,7/30/2022
Oil products,2022-07-31T00:00:00Z,EU,1.186238293,7/31/2022
Oil products,2022-08-01T00:00:00Z,EU,1.176288861,8/1/2022
Oil products,2022-08-02T00:00:00Z,EU,1.195962685,8/2/2022
Oil products,2022-08-03T00:00:00Z,EU,1.182407888,8/3/2022
Oil products,2022-08-04T00:00:00Z,EU,1.173852296,8/4/2022
Oil products,2022-08-05T00:00:00Z,EU,1.185425172,8/5/2022
Oil products,2022-08-06T00:00:00Z,EU,1.217633752,8/6/2022
Oil products,2022-08-07T00:00:00Z,EU,1.197302704,8/7/2022
Oil products,2022-08-08T00:00:00Z,EU,1.164644841,8/8/2022
Oil products,2022-08-09T00:00:00Z,EU,1.16149307,8/9/2022
Oil products,2022-08-10T00:00:00Z,EU,1.154498381,8/10/2022
Oil products,2022-08-11T00:00:00Z,EU,1.107011761,8/11/2022
Oil products,2022-08-12T00:00:00Z,EU,1.094764985,8/12/2022
Oil products,2022-08-13T00:00:00Z,EU,1.0635256,8/13/2022
Oil products,2022-08-14T00:00:00Z,EU,1.089531096,8/14/2022
Oil products,2022-08-15T00:00:00Z,EU,1.062493982,8/15/2022
Oil products,2022-08-16T00:00:00Z,EU,1.045306711,8/16/2022
Oil products,2022-08-17T00:00:00Z,EU,1.053510111,8/17/2022
Oil products,2022-08-18T00:00:00Z,EU,1.058434709,8/18/2022
Oil products,2022-08-19T00:00:00Z,EU,1.055525639,8/19/2022
Oil products,2022-08-20T00:00:00Z,EU,1.048076176,8/20/2022
Oil products,2022-08-21T00:00:00Z,EU,1.071083662,8/21/2022
Oil products,2022-08-22T00:00:00Z,EU,1.069950887,8/22/2022
Oil products,2022-08-23T00:00:00Z,EU,1.057420224,8/23/2022
Oil products,2022-08-24T00:00:00Z,EU,1.089444686,8/24/2022
Oil products,2022-08-25T00:00:00Z,EU,1.047843124,8/25/2022
Oil products,2022-08-26T00:00:00Z,EU,1.043520096,8/26/2022
Oil products,2022-08-27T00:00:00Z,EU,1.029403246,8/27/2022
Oil products,2022-08-28T00:00:00Z,EU,1.075118266,8/28/2022
Oil products,2022-08-29T00:00:00Z,EU,1.061938424,8/29/2022
Oil products,2022-08-30T00:00:00Z,EU,1.035179441,8/30/2022
